epochs,Validation accuracy,Validation Loss,Train Loss
1,0.9771305322647095,24.186325073242188,28.316740036010742
2,0.987284243106842,21.478897094726562,24.860973358154297
3,0.9920701384544373,18.816696166992188,21.978961944580078
4,0.9933691620826721,16.514144897460938,19.416027069091797
5,0.9936736822128296,14.316291809082031,17.043916702270508
6,0.9936721920967102,11.945716857910156,14.61661434173584
7,0.9919866323471069,9.952353477478027,12.0961332321167
8,0.995337963104248,7.471735954284668,9.521919250488281
9,0.9936985373497009,5.650574684143066,7.540035724639893
10,0.9962427616119385,3.570481300354004,5.284700870513916
11,0.9959694147109985,1.951128602027893,3.3488688468933105
12,0.9963675141334534,0.3952201306819916,1.4208457469940186
13,0.9919196963310242,0.3390212059020996,0.4446914792060852
14,0.985461413860321,0.5359407067298889,0.27122169733047485
15,0.9963603019714355,0.13337519764900208,0.20048114657402039
16,0.9943988919258118,0.15000249445438385,0.16361437737941742
17,0.9962947368621826,0.07372498512268066,0.17371626198291779
18,0.9966453909873962,0.11685188114643097,0.21984992921352386
19,0.9957910776138306,0.10926828533411026,0.17515768110752106
20,0.9912307262420654,0.30347004532814026,0.23947350680828094
