epochs,Validation accuracy,Validation Loss,Train Loss
1,0.33085519075393677,405.4755859375,529.4906005859375
2,0.7940433025360107,309.19873046875,423.4700012207031
3,0.8276388645172119,219.99374389648438,282.11456298828125
4,0.8424844741821289,120.52203369140625,159.5875701904297
5,0.8527119159698486,76.07492065429688,84.45990753173828
6,0.8741312026977539,20.526899337768555,41.373077392578125
7,0.8859017491340637,21.583538055419922,15.416933059692383
8,0.8956155180931091,24.085947036743164,23.566144943237305
9,0.9216801524162292,15.536898612976074,19.51617431640625
10,0.9137099385261536,35.84255599975586,20.57183837890625
11,0.9190791845321655,20.434602737426758,17.490882873535156
12,0.9341319799423218,21.643722534179688,17.236621856689453
13,0.9366138577461243,12.665019989013672,20.727092742919922
14,0.9312822818756104,31.129215240478516,15.921537399291992
15,0.9407972097396851,30.294971466064453,17.733665466308594
16,0.9411701560020447,11.31509017944336,17.98664665222168
17,0.9411979913711548,22.66160774230957,15.708687782287598
18,0.9423677325248718,24.337398529052734,21.849878311157227
19,0.942534327507019,18.334205627441406,18.52288055419922
20,0.9405162334442139,26.083572387695312,10.98477554321289
